Time,X1,X2
2019-04-08 09:30:00,64336,128332
2019-04-21 10:00:00,64614,128775
2019-04-28 09:00:00,64753,128796
2019-05-25 18:30:00,65278,129177
2019-06-07 10:43:00,65626,129239
2019-06-11 23:00:00,65735,129250
2019-06-14 13:45:00,65811,129268
2019-06-24 18:00:00,66069,129291
2019-07-28 23:50:00,66907,129385
2019-08-08 11:15:00,67183,129416
2019-09-02 07:40:00,67748,129475
2019-09-27 07:40:00,68324,129732
2019-10-14 14:15:00,68802,130228
2019-10-28 22:30:00,69118,130722
2019-11-27 14:00:00,69868,132396
2020-03-26 13:00:00,73295,139086
